B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,bsi,elev,mndwi,ndbi,ndvi,slope
521.5,3979,3336.5,780.5,1175,1709,1994,2352.5,2517.5,2564.5,2750.5,2589,0.259382265,910,-0.544043461,0.216168717,0.2001872,4.627367496
472,2540,1916,560,829,957,1342,1961,2175,2238,2385,2412,0.111040508,729,-0.507865836,0.063206362,0.400938967,2.083609104
783,4136,3473,1016,1494,2220,2490,2752,2891,2902,3008,2956,0.237298034,911,-0.469271758,0.175333902,0.133151113,2.084187031
384,1713,951,374,659,576,987,2237,2578,2141,2779,2769,-0.04704413,859,-0.444350759,-0.111053451,0.576002944,4.70681925
645,4355,3573,931,1476,2288,2456,2658,2816,3052,3025,2944,0.250329381,913,-0.493740353,0.175914675,0.143071161,2.118872238
333,2751,1755,469,736,800,1264,2031,2276,2398,2608,2560,0.106575257,868,-0.577860625,0.068557001,0.499687305,2.083152085
723,3630.5,3084.5,856,1177,1625,1907,2071,2250.5,2305.5,2487,2433,0.248782226,634,-0.510348414,0.223214286,0.173133189,0
448.5,2570.5,1647.5,492,835.5,855.5,1321.5,2692,3231,3340.5,3373.5,3435,-0.056003306,639,-0.509395185,-0.130265606,0.592230696,0.927409937
563.5,3880,3030,762,1184,1622.5,1989.5,2287.5,2549,2693,2778.5,2796,0.228579403,943,-0.532385466,0.180587251,0.248059321,1.854334169
454,2926,2143,611,794,1036,1288,1584,1763,1918,2066,2139,0.220767216,756,-0.57311828,0.208092486,0.298578199,15.66632366
451.5,2313,1493,576,844.5,873,1156,2416.5,2644.5,2761,3054,2967.5,-0.023148858,670,-0.465083135,-0.08829326,0.5195377,1.32798605
494,2759,1829,585,947,1088,1463,2150,2483,2632,2739,2909,0.089184598,840,-0.488936859,0.023557781,0.415053763,6.533328142
471,2820,2098,507,789,817,1366,1800,2071,2106,2313,2541,0.16384,759,-0.562759767,0.144945189,0.440985289,4.162070807
1109,2837,2497,1278,1542,1874,2148,2302,2397,2280,2512,2473,0.139436449,875,-0.295729619,0.108852843,0.097737121,10.01030472
601,4066.5,3140.5,873.5,1318,2057,2207,2914.5,3182.5,3198,3381.5,3435.5,0.201275135,668,-0.510446652,0.119553995,0.217126546,4.699504214
478,2980,1995,594,750,987,1356,1759,1984,1953,2237,2352,0.217992017,904,-0.597855228,0.208189743,0.328571429,0.927409947
707.5,3123,2343,764,1095,1503,1593,2036.5,2238,2402.5,2416,2836,0.187295476,737,-0.480796586,0.130395439,0.230316221,0.951070615
868,3073,2300.5,994.5,1484,1819.5,2096.5,2672,2816.5,2756,2916.5,2969.5,0.132130047,777,-0.348694316,0.054383256,0.204677084,0
396,2728,1825,496,744,914,1250,1703,1913,1990,2184,2243,0.188642298,915,-0.571428571,0.156422213,0.370523416,2.93862772
490,3215,2612,1128,1522,1990,1813,2252,2322,2532,2569,2909,0.17428088,807,-0.357399198,0.118844615,0.11985847,3.367035764
391,2931,1955,500,716,888,1198,1886,2150,2211,2414,2279,0.169678407,847,-0.607348506,0.140023337,0.426911907,7.277077198
397,2634,1961,525.5,749.5,972.5,1263,1610,1779.5,1925,2025,2085,0.190853558,810,-0.556967637,0.155516561,0.328731665,3.978022303
403,3136,2441,716,1090,1542,1853,2314,2534,2734,2744,2595,0.151082677,887,-0.484145764,0.068483816,0.278765201,0
489.5,3279.5,2624,641,947.5,1278,1644,2055,2232,2224,2465,2638,0.228022903,709,-0.551691507,0.191787045,0.270131354,2.114888568
360,2154,1352,448,778,755,1316,2161,2471,2532,2715,2706,-0.012056376,898,-0.469304229,-0.080665813,0.540614542,1.904598008
862.5,2768,2495,895.5,1213,1425,1805,2031.5,2131,2082,2257,2352.5,0.169513981,724,-0.390605376,0.141443299,0.187339607,11.15019873
957.5,3737,3037.5,1144,1516,2080,2315,2518,2646.5,2688,2769,2969.5,0.2057208,860,-0.422806016,0.163268482,0.127516779,2.656010973
651.5,3384.5,2805,689.5,1046,1479,1938.5,2135.5,2331,2281,2504.5,2488,0.241639009,905,-0.527818531,0.194775395,0.213297872,1.854334116
552,3697,2967.5,843.5,1226,1909,1997.5,2351.5,2572.5,2849,2816.5,2875.5,0.205785879,717,-0.501929718,0.12954476,0.197562001,4.668673038
483,3245.5,2449.5,670.5,940.5,1281,1494,1893,2078,2265,2352.5,2418.5,0.213213616,719,-0.550645007,0.177933037,0.27749577,6.68428278
570,3931,3091,828,1272,1943,2145,2696,2923,3072,3156,2779,0.201964395,884,-0.511051317,0.122661716,0.225124626,3.824557672
596,3781,2794,718,1044,1548,1941,2263,2499,2640,2796,2807,0.226890756,743,-0.567253886,0.177698178,0.260744986,4.667313576
423.5,2702,1797.5,570.5,781,978.5,1334.5,2011,2290,2284,2632,2634.5,0.126396327,421,-0.551536032,0.083834737,0.400153257,5.676692963
558.5,2796,1970.5,605.5,851.5,951,1412,1865.5,2067.5,2141,2307,2457.5,0.154077154,873,-0.533104866,0.132671663,0.384864166,0
654,4092.5,3363.5,804.5,1189,1815.5,2290.5,2481,2680.5,2815.5,2874.5,2813.5,0.240134341,820,-0.549749124,0.184858135,0.215936083,6.010509014
560.5,3538.5,2684,637,1065,1839,1905.5,2250,2432,2605,2551,2627,0.24775219,845,-0.53730857,0.151949215,0.172367237,3.401585817
368,1950,1194,339,651,517,1133,2187,2755,2840,2891,2816,-0.126106978,926,-0.499423299,-0.185803758,0.691986893,1.32931211
409.5,2133.5,1391,388.5,638,514,1190.5,2030,2276,2357.5,2474.5,2447,-0.018262724,789,-0.539599495,-0.049877533,0.641998955,10.62096596
558,3577,2733.5,816.5,1259,1712,2111.5,2599.5,2838.5,2965,3129.5,2890.5,0.166198115,578,-0.479321754,0.093549373,0.267906778,2.112309315
487,3036,2011,471,769,944,1506,2133,2392,2466,2661,2786,0.150787914,710,-0.595795007,0.103598691,0.446334311,2.780288516
450,3143,2423,727,1082,1480,1817,2090,2313,2292,2519,2500,0.209892698,899,-0.487810651,0.156577737,0.215270414,0
459,3032,2044,599,924,1180,1460,1913,2134,2220,2424,2368,0.1981226,881,-0.532861476,0.154607768,0.305882353,0
408,2770.5,2065,498,676,896.5,1220,1538,1704.5,1940,2073.5,1994.5,0.201310401,957,-0.607717975,0.176308248,0.367882954,6.005435467
407,2969,2090,532,825,1034,1468,1994,2220,2422,2478,2444,0.150783384,688,-0.565102794,0.101465405,0.40162037,3.976779699
530,3764,2904,724,1014,1478,2015,2433,2644,2636,2916,2789,0.218786329,691,-0.575554625,0.17625,0.28147788,2.848906286
554,3029,2227,680,990,1262,1692,2250,2470,2436,2703,2801,0.158633725,841,-0.507340134,0.108508692,0.317468902,11.26383089
589,3960,3363,786,1286,2050,2372,2514,2688,2742,2892,3048,0.260222269,644,-0.509721693,0.181736795,0.144407346,3.364966102
437,3323.5,2546.5,705,1019,1319,1642.5,2259.5,2591,2494,2840.5,2660.5,0.184084678,728,-0.530685089,0.142587022,0.308156307,0.950938761
639,4007,3195,746,1240,2004,2182,2448,2643,2670,2797,2860,0.275273152,895,-0.527348961,0.200239629,0.142490372,1.329696355
394,2114,1621,440,674,736,1106,1855,2098,2337,2461,2368,0.012973165,874,-0.516499283,-0.050101101,0.520989261,2.656719827
835,3677,3292,1040,1322,1844,2223,2453,2582,2569,2711,2862,0.209419496,683,-0.471094219,0.177393532,0.164287333,2.08317256
432.5,2743.5,1940,516.5,923,1035,1546.5,2261.5,2495.5,2549,2781.5,2627.5,0.104178843,726,-0.496522569,0.036750118,0.422433036,3.909024868
487.5,2765.5,1937,584.5,845.5,978,1276.5,1841,2045,2041.5,2296.5,2425.5,0.175445482,988,-0.531708668,0.150613688,0.352210631,14.95181422
421,2551,1972,614.5,840.5,1020,1339,1824.5,2057,2094.5,2297.5,2407.5,0.137261146,727,-0.504349108,0.09826714,0.344999197,2.850758076
